0.43634	5054
0.2551	4962
0.36049	4908
0.23062	4894
0.21917	4872
0.32204	4848
0.26847	4813
0.27438	4722
0.28302	4670
0.21825	4650
0.20865	4630
0.2246	4614
0.25742	4583
0.23732	4571
0.22365	4543
0.21797	4533
0.2307	4515
0.19712	4499
0.20894	4486
0.21774	4477
0.1989	4467
0.19931	4453
0.21392	4439
0.2166	4420
0.20546	4403
0.1868	4391
0.19634	4376
0.18618	4368
0.19716	4349
0.18762	4333
0.19402	4322
0.19347	4307
0.17835	4295
0.18822	4289
0.17919	4279
0.18539	4267
0.18816	4261
0.18252	4245
0.18057	4229
0.19086	4216
0.17465	4203
0.18493	4183
0.17752	4175
0.1697	4162
0.1709	4150
0.16227	4138
0.16752	4127
0.16363	4111
0.15837	4098
0.17336	4089
0.1716	4073
0.15903	4055
0.15921	4048
0.1599	4037
0.15948	4021
0.15414	4011
0.15617	4003
0.14513	3994
0.15304	3975
0.14804	3952
0.14802	3940
0.16126	3931
0.16249	3924
0.14884	3909
0.14644	3895
0.13984	3877
0.14032	3868
0.15492	3861
0.15915	3844
0.14338	3834
0.13973	3825
0.13383	3810
0.14359	3800
0.13936	3791
0.14395	3785
0.14395	3774
0.13116	3761
0.14363	3749
0.13352	3739
0.14246	3732
0.12758	3725
0.12585	3713
0.12083	3701
0.13526	3694
0.13806	3683
0.12082	3655
0.12811	3642
0.12234	3633
0.12886	3620
0.11831	3610
0.13622	3599
0.11859	3583
0.11418	3573
0.13431	3568
0.11673	3557
0.12759	3549
0.12437	3541
0.11798	3530
0.12986	3518
0.11812	3510
0.11289	3499
